300	28	110
1	1	0	81	77	2	A
2	2	0	70	90	2	B
3	1	0	95	78	4	C
4	1	0	71	87	4	D
5	1	0	76	85	1	A
6	1	1	83	76	4	B
7	2	1	86	73	3	C
8	1	1	75	86	3	D
9	1	1	71	79	1	A
10	1	1	80	86	1	B
11	1	1	78	81	1	C
12	2	2	78	75	4	D
13	2	2	84	84	2	A
14	2	2	80	99	1	B
15	2	2	77	87	1	C
16	1	2	76	98	1	D
17	1	2	69	85	1	A
18	1	2	98	80	4	B
19	1	3	86	78	4	C
20	1	3	84	98	3	D
21	1	3	77	100	1	A
22	1	3	82	93	1	B
23	1	4	66	87	4	C
24	2	4	78	77	3	D
25	1	4	87	73	3	A
26	1	4	85	90	2	B
27	1	4	71	96	3	C
28	2	5	76	91	2	D
29	1	5	100	82	1	A
30	2	5	92	93	4	B
31	1	6	77	82	4	C
32	1	6	71	93	1	D
33	2	6	94	98	3	A
34	2	6	99	75	2	B
35	1	6	83	100	1	C
36	1	7	67	95	4	D
37	1	7	91	96	2	A
38	1	7	72	95	1	B
39	1	7	90	73	1	C
40	1	7	75	72	3	D
41	1	8	91	93	1	A
42	2	8	83	73	2	B
43	1	8	70	74	4	C
44	1	8	89	71	3	D
45	1	9	82	96	1	A
46	2	9	74	77	3	B
47	1	9	75	78	1	C
48	1	9	78	98	2	D
49	1	9	94	88	3	A
50	1	10	69	99	2	B
51	1	10	83	74	3	C
52	1	10	67	100	1	D
53	1	10	92	88	3	A
54	2	11	78	89	4	B
55	1	11	78	76	3	C
56	1	11	94	77	4	D
57	1	11	68	83	3	A
58	1	11	67	81	2	B
59	1	11	85	95	1	C
60	1	12	98	74	3	D
61	1	12	89	96	1	A
62	1	12	77	95	2	B
63	1	12	66	76	1	C
64	1	12	98	96	4	D
65	1	12	69	77	2	A
66	1	13	76	87	3	B
67	1	13	99	75	4	C
68	1	13	66	97	2	D
69	1	14	79	97	3	A
70	1	14	74	79	4	B
71	1	14	82	98	3	C
72	2	14	70	84	4	D
73	1	14	94	98	2	A
74	1	14	93	97	2	B
75	1	14	90	73	3	C
76	1	14	97	81	4	D
77	1	14	79	98	1	A
78	2	14	96	99	1	B
79	1	15	95	90	1	C
80	2	15	66	80	2	D
81	2	15	85	85	4	A
82	1	16	94	87	2	B
83	1	16	72	79	4	C
84	1	17	85	90	3	D
85	1	17	97	92	1	A
86	2	17	91	71	2	B
87	1	18	70	84	1	C
88	1	18	68	98	3	D
89	1	18	77	95	3	A
90	1	18	84	76	1	B
91	1	18	68	90	3	C
92	1	18	67	96	3	D
93	2	19	89	84	3	A
94	1	19	68	96	4	B
95	1	19	89	88	3	C
96	2	19	83	78	3	D
97	1	19	68	79	3	A
98	1	20	79	71	3	B
99	1	20	82	79	1	C
100	1	20	75	92	3	D
101	1	20	77	82	3	A
102	1	20	79	74	3	B
103	1	21	78	81	4	C
104	1	21	89	71	3	D
105	1	21	94	86	3	A
106	1	21	77	75	3	B
107	1	21	76	92	2	C
108	1	21	84	72	4	D
109	1	21	87	99	2	A
110	1	21	76	74	1	B
111	2	22	87	89	4	C
112	1	22	70	97	1	D
113	1	23	88	89	3	A
114	2	23	81	88	4	B
115	2	24	88	95	4	C
116	2	24	74	95	2	D
117	1	24	90	84	1	A
118	1	25	88	97	3	B
119	2	25	71	97	4	C
120	1	25	66	71	3	D
121	1	25	89	74	3	A
122	2	25	79	74	4	B
123	1	26	68	96	2	C
124	1	26	66	90	1	D
125	1	26	68	95	2	A
126	2	26	77	81	2	B
127	1	26	85	81	4	C
128	2	27	71	77	1	D
129	1	27	98	98	2	A
130	1	27	71	73	4	B
131	1	28	95	95	2	C
132	1	28	67	99	1	D
133	1	28	81	97	3	A
134	1	28	78	81	4	B
135	1	28	88	91	1	C
136	1	28	73	84	3	D
137	1	28	67	83	3	A
138	1	29	85	79	3	B
139	1	29	67	80	2	C
140	1	29	66	90	2	D
141	1	29	75	89	4	A
142	1	29	97	97	1	B
143	2	29	93	100	4	C
144	1	30	86	94	3	D
145	1	30	94	91	4	A
146	1	30	69	86	3	B
147	1	30	68	83	3	C
148	1	30	96	85	1	D
149	2	31	69	79	1	A
150	1	31	89	95	3	B
151	2	31	94	92	1	C
152	2	31	97	86	1	D
153	1	31	95	99	2	A
154	1	31	94	81	3	B
155	1	31	71	82	1	C
156	1	32	74	86	1	D
157	1	32	98	77	1	A
158	1	33	75	82	2	B
159	1	33	99	84	1	C
160	1	34	100	84	2	D
161	2	34	95	84	3	A
162	1	34	82	91	4	B
163	2	34	95	87	4	C
164	1	34	99	84	3	D
165	1	35	88	96	1	A
166	1	35	72	97	4	B
167	1	35	68	75	1	C
168	1	36	85	86	4	D
169	1	36	74	85	4	A
170	2	36	70	95	3	B
171	2	36	71	90	3	C
172	1	37	72	79	3	D
173	1	37	93	90	3	A
174	1	37	100	80	2	B
175	1	37	85	98	1	C
176	1	38	70	99	1	D
177	1	38	93	76	3	A
178	1	38	98	97	4	B
179	1	38	100	84	4	C
180	2	39	97	72	4	D
181	1	39	86	89	3	A
182	1	39	88	73	1	B
183	2	39	73	93	2	C
184	1	40	94	90	4	D
185	1	40	74	77	2	A
186	1	40	92	90	2	B
187	1	41	90	94	1	C
188	1	41	76	84	4	D
189	1	41	81	100	2	A
190	1	42	77	93	2	B
191	1	42	70	76	1	C
192	1	42	85	82	2	D
193	2	43	81	87	2	A
194	1	43	67	98	1	B
195	1	44	78	96	2	C
196	2	44	82	89	1	D
197	1	44	79	84	2	A
198	1	46	82	82	3	B
199	2	46	70	88	1	C
200	1	46	81	82	2	D
201	1	46	90	92	1	A
202	1	46	68	84	3	B
203	2	46	84	79	4	C
204	2	46	93	91	1	D
205	1	46	81	88	3	A
206	1	47	74	97	4	B
207	1	47	75	78	1	C
208	2	47	68	73	2	D
209	1	48	72	97	1	A
210	1	48	99	92	3	B
211	1	48	69	84	3	C
212	1	48	68	71	4	D
213	1	48	75	95	1	A
214	1	48	76	80	2	B
215	1	48	69	79	3	C
216	1	48	97	88	4	D
217	1	48	94	75	2	A
218	1	49	72	81	1	B
219	1	50	75	83	2	C
220	1	50	83	78	1	D
221	1	50	94	78	4	A
222	1	50	92	82	3	B
223	1	50	73	87	2	C
224	1	50	79	73	2	D
225	1	51	81	78	4	A
226	1	51	75	96	4	B
227	1	51	95	72	2	C
228	1	52	88	80	4	D
229	1	53	93	85	2	A
230	1	53	77	86	4	B
231	1	53	71	85	1	C
232	1	53	87	84	2	D
233	1	53	82	90	2	A
234	1	54	70	74	2	B
235	2	54	78	78	2	C
236	1	54	95	99	2	D
237	1	54	76	87	4	A
238	1	55	94	77	2	B
239	1	55	80	83	1	C
240	2	55	81	79	3	D
241	2	56	68	94	4	A
242	1	56	87	99	4	B
243	1	56	73	75	2	C
244	1	56	83	83	4	D
245	1	57	86	94	2	A
246	2	57	100	75	2	B
247	1	58	66	90	3	C
248	1	58	92	84	2	D
249	1	58	75	75	2	A
250	2	59	80	92	3	B
251	1	59	95	97	3	C
252	1	59	79	92	4	D
253	1	60	78	93	2	A
254	2	60	84	80	1	B
255	1	60	97	94	4	C
256	1	60	90	72	1	D
257	1	60	72	95	3	A
258	1	60	94	89	4	B
259	2	60	99	89	4	C
260	1	61	69	71	3	D
261	1	62	91	94	2	A
262	1	62	70	78	1	B
263	1	63	80	99	4	C
264	2	63	76	90	3	D
265	2	63	66	97	3	A
266	1	64	69	87	2	B
267	2	64	77	82	1	C
268	1	64	84	79	2	D
269	1	64	75	94	3	A
270	1	64	74	75	2	B
271	1	64	90	94	4	C
272	2	65	72	91	2	D
273	1	65	75	72	1	A
274	1	65	66	98	2	B
275	1	65	93	92	2	C
276	2	65	97	92	4	D
277	1	65	83	76	2	A
278	1	65	68	72	1	B
279	1	65	90	81	3	C
280	1	65	83	99	4	D
281	2	66	91	72	2	A
282	1	66	66	90	2	B
283	1	66	100	97	4	C
284	1	66	100	98	1	D
285	1	66	97	72	2	A
286	1	66	84	82	4	B
287	1	66	79	92	4	C
288	2	67	83	93	4	D
289	1	67	85	97	4	A
290	1	67	87	97	3	B
291	1	68	81	73	1	C
292	1	68	98	82	3	D
293	1	68	70	82	4	A
294	1	68	79	76	4	B
295	1	69	71	94	3	C
296	1	69	89	89	2	D
297	1	69	93	82	4	A
298	1	69	78	92	1	B
299	1	69	90	78	4	C
300	1	69	87	83	4	D
-1
